"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|BE","Actual Total Load [MW] - BZN|BE"
"31.12.2023 00:00 - 31.12.2023 00:15","8407","7484"
"31.12.2023 00:15 - 31.12.2023 00:30","8249","7354"
"31.12.2023 00:30 - 31.12.2023 00:45","8160","7254"
"31.12.2023 00:45 - 31.12.2023 01:00","8030","7132"
"31.12.2023 01:00 - 31.12.2023 01:15","8015","7035"
"31.12.2023 01:15 - 31.12.2023 01:30","7886","6927"
"31.12.2023 01:30 - 31.12.2023 01:45","7816","6852"
"31.12.2023 01:45 - 31.12.2023 02:00","7704","6747"
"31.12.2023 02:00 - 31.12.2023 02:15","7675","6621"
"31.12.2023 02:15 - 31.12.2023 02:30","7611","6633"
"31.12.2023 02:30 - 31.12.2023 02:45","7561","6591"
"31.12.2023 02:45 - 31.12.2023 03:00","7513","6544"
"31.12.2023 03:00 - 31.12.2023 03:15","7495","6513"
"31.12.2023 03:15 - 31.12.2023 03:30","7428","6468"
"31.12.2023 03:30 - 31.12.2023 03:45","7357","6434"
"31.12.2023 03:45 - 31.12.2023 04:00","7341","6442"
"31.12.2023 04:00 - 31.12.2023 04:15","7347","6496"
"31.12.2023 04:15 - 31.12.2023 04:30","7301","6566"
"31.12.2023 04:30 - 31.12.2023 04:45","7307","6610"
"31.12.2023 04:45 - 31.12.2023 05:00","7289","6531"
"31.12.2023 05:00 - 31.12.2023 05:15","7361","6588"
"31.12.2023 05:15 - 31.12.2023 05:30","7349","6573"
"31.12.2023 05:30 - 31.12.2023 05:45","7388","6613"
"31.12.2023 05:45 - 31.12.2023 06:00","7374","6683"
"31.12.2023 06:00 - 31.12.2023 06:15","7525","6800"
"31.12.2023 06:15 - 31.12.2023 06:30","7607","6844"
"31.12.2023 06:30 - 31.12.2023 06:45","7668","6904"
"31.12.2023 06:45 - 31.12.2023 07:00","7693","6921"
"31.12.2023 07:00 - 31.12.2023 07:15","7678","6965"
"31.12.2023 07:15 - 31.12.2023 07:30","7724","7103"
"31.12.2023 07:30 - 31.12.2023 07:45","7836","7252"
"31.12.2023 07:45 - 31.12.2023 08:00","7928","7330"
"31.12.2023 08:00 - 31.12.2023 08:15","8048","7453"
"31.12.2023 08:15 - 31.12.2023 08:30","8212","7539"
"31.12.2023 08:30 - 31.12.2023 08:45","8244","7636"
"31.12.2023 08:45 - 31.12.2023 09:00","8358","7731"
"31.12.2023 09:00 - 31.12.2023 09:15","8483","7875"
"31.12.2023 09:15 - 31.12.2023 09:30","8589","8035"
"31.12.2023 09:30 - 31.12.2023 09:45","8719","8157"
"31.12.2023 09:45 - 31.12.2023 10:00","8845","8251"
"31.12.2023 10:00 - 31.12.2023 10:15","8972","8385"
"31.12.2023 10:15 - 31.12.2023 10:30","9047","8425"
"31.12.2023 10:30 - 31.12.2023 10:45","9104","8488"
"31.12.2023 10:45 - 31.12.2023 11:00","9159","8492"
"31.12.2023 11:00 - 31.12.2023 11:15","9250","8498"
"31.12.2023 11:15 - 31.12.2023 11:30","9345","8607"
"31.12.2023 11:30 - 31.12.2023 11:45","9391","8676"
"31.12.2023 11:45 - 31.12.2023 12:00","9437","8753"
"31.12.2023 12:00 - 31.12.2023 12:15","9481","8794"
"31.12.2023 12:15 - 31.12.2023 12:30","9496","8739"
"31.12.2023 12:30 - 31.12.2023 12:45","9499","8727"
"31.12.2023 12:45 - 31.12.2023 13:00","9459","8725"
"31.12.2023 13:00 - 31.12.2023 13:15","9417","8737"
"31.12.2023 13:15 - 31.12.2023 13:30","9376","8635"
"31.12.2023 13:30 - 31.12.2023 13:45","9367","8477"
"31.12.2023 13:45 - 31.12.2023 14:00","9332","8380"
"31.12.2023 14:00 - 31.12.2023 14:15","9293","8346"
"31.12.2023 14:15 - 31.12.2023 14:30","9198","8335"
"31.12.2023 14:30 - 31.12.2023 14:45","9190","8288"
"31.12.2023 14:45 - 31.12.2023 15:00","9111","8269"
"31.12.2023 15:00 - 31.12.2023 15:15","9191","8374"
"31.12.2023 15:15 - 31.12.2023 15:30","9173","8401"
"31.12.2023 15:30 - 31.12.2023 15:45","9141","8453"
"31.12.2023 15:45 - 31.12.2023 16:00","9106","8505"
"31.12.2023 16:00 - 31.12.2023 16:15","9115","8625"
"31.12.2023 16:15 - 31.12.2023 16:30","9186","8694"
"31.12.2023 16:30 - 31.12.2023 16:45","9326","8778"
"31.12.2023 16:45 - 31.12.2023 17:00","9500","8942"
"31.12.2023 17:00 - 31.12.2023 17:15","9559","9089"
"31.12.2023 17:15 - 31.12.2023 17:30","9625","9170"
"31.12.2023 17:30 - 31.12.2023 17:45","9690","9112"
"31.12.2023 17:45 - 31.12.2023 18:00","9783","9051"
"31.12.2023 18:00 - 31.12.2023 18:15","9759","9017"
"31.12.2023 18:15 - 31.12.2023 18:30","9749","8949"
"31.12.2023 18:30 - 31.12.2023 18:45","9742","8878"
"31.12.2023 18:45 - 31.12.2023 19:00","9669","8883"
"31.12.2023 19:00 - 31.12.2023 19:15","9685","8772"
"31.12.2023 19:15 - 31.12.2023 19:30","9591","8699"
"31.12.2023 19:30 - 31.12.2023 19:45","9501","8591"
"31.12.2023 19:45 - 31.12.2023 20:00","9463","8482"
"31.12.2023 20:00 - 31.12.2023 20:15","9375","8339"
"31.12.2023 20:15 - 31.12.2023 20:30","9301","8286"
"31.12.2023 20:30 - 31.12.2023 20:45","9149","8204"
"31.12.2023 20:45 - 31.12.2023 21:00","9051","8149"
"31.12.2023 21:00 - 31.12.2023 21:15","9058","8104"
"31.12.2023 21:15 - 31.12.2023 21:30","9012","8048"
"31.12.2023 21:30 - 31.12.2023 21:45","8846","7979"
"31.12.2023 21:45 - 31.12.2023 22:00","8772","7920"
"31.12.2023 22:00 - 31.12.2023 22:15","8866","7915"
"31.12.2023 22:15 - 31.12.2023 22:30","8920","7925"
"31.12.2023 22:30 - 31.12.2023 22:45","8860","7844"
"31.12.2023 22:45 - 31.12.2023 23:00","8803","7794"
"31.12.2023 23:00 - 31.12.2023 23:15","8925","7862"
"31.12.2023 23:15 - 31.12.2023 23:30","8783","7758"
"31.12.2023 23:30 - 31.12.2023 23:45","8683","7639"
"31.12.2023 23:45 - 01.01.2024 00:00","8540","7540"
